Node_ID,X,Y,Z,Head,Velocity_X,Velocity_Y,Darcy_Flux_X,Darcy_Flux_Y,Hydraulic_Gradient
0,0.0,0.0,0.0,10.0,1.4285714285714111e-05,1.057355261547768e-20,4.9999999999999386e-06,3.700743415417188e-21,0.04999999999999938
1,5.0,0.0,0.0,9.750000000000002,1.4285714285714174e-05,3.275767182750405e-20,4.999999999999961e-06,1.1465185139626416e-20,0.04999999999999961
2,10.0,0.0,0.0,9.500000000000004,1.4285714285714285e-05,1.8313930346510138e-20,4.9999999999999996e-06,6.4098756212785474e-21,0.04999999999999998
3,15.0,0.0,0.0,9.250000000000004,1.4285714285714235e-05,3.870188865516228e-21,4.999999999999982e-06,1.3545661029306797e-21,0.04999999999999983
4,20.0,0.0,0.0,9.000000000000005,1.4285714285714213e-05,-3.120215085589754e-20,4.999999999999974e-06,-1.092075279956414e-20,0.049999999999999725
5,25.0,0.0,0.0,8.750000000000005,1.4285714285714094e-05,-6.943638572171626e-20,4.999999999999933e-06,-2.430273500260069e-20,0.04999999999999931
6,30.0,0.0,0.0,8.500000000000012,1.4285714285713906e-05,-1.0006917638588637e-19,4.999999999999867e-06,-3.502421173506023e-20,0.04999999999999865
7,35.0,0.0,0.0,8.25000000000002,1.428571428571403e-05,3.0114283673634626e-20,4.99999999999991e-06,1.0539999285772119e-20,0.049999999999999115
8,40.0,0.0,0.0,8.000000000000021,1.4285714285714211e-05,-2.3790493384824773e-20,4.999999999999973e-06,-8.32667268468867e-21,0.04999999999999973
9,45.0,0.0,0.0,7.75000000000002,1.4285714285714267e-05,-8.633372862600377e-20,4.999999999999993e-06,-3.021680501910132e-20,0.04999999999999991
10,50.0,0.0,0.0,7.500000000000021,1.4285714285714382e-05,-4.125719648083975e-20,5.0000000000000334e-06,-1.444001876829391e-20,0.05000000000000032
11,55.0,0.0,0.0,7.250000000000017,1.4285714285714387e-05,-7.259828086612116e-20,5.000000000000035e-06,-2.5409398303142407e-20,0.05000000000000034
12,60.0,0.0,0.0,7.000000000000019,1.4285714285714284e-05,3.5401059981373475e-20,4.999999999999999e-06,1.2390370993480715e-20,0.04999999999999999
13,65.0,0.0,0.0,6.750000000000018,1.4285714285714351e-05,-3.161895144404923e-21,5.0000000000000224e-06,-1.106663300541723e-21,0.05000000000000021
14,70.0,0.0,0.0,6.500000000000015,1.4285714285714482e-05,1.9730517788732762e-20,5.000000000000068e-06,6.905681226056467e-21,0.050000000000000676
15,75.0,0.0,0.0,6.250000000000011,1.4285714285714433e-05,5.805283298274339e-21,5.000000000000051e-06,2.0318491543960187e-21,0.050000000000000495
16,80.0,0.0,0.0,6.000000000000009,1.4285714285714287e-05,-1.5152035202105206e-20,5e-06,-5.303212320736822e-21,0.049999999999999996
17,85.0,0.0,0.0,5.75000000000001,1.4285714285714335e-05,1.656862264432784e-20,5.0000000000000165e-06,5.7990179255147435e-21,0.05000000000000017
18,90.0,0.0,0.0,5.500000000000008,1.4285714285714433e-05,3.700743415417189e-20,5.000000000000051e-06,1.295260195396016e-20,0.050000000000000495
19,95.0,0.0,0.0,5.250000000000004,1.4285714285714512e-05,3.3516818749807306e-21,5.000000000000079e-06,1.1730886562432556e-21,0.05000000000000079
20,100.0,0.0,0.0,5.0,1.428571428571455e-05,-6.703363749961447e-21,5.000000000000092e-06,-2.3461773124865063e-21,0.05000000000000092
21,0.0,5.0,0.0,10.0,1.4285714285714118e-05,1.4165874422226151e-21,4.999999999999941e-06,4.958056047779152e-22,0.04999999999999942
22,5.0,5.0,0.0,9.750000000000002,1.4285714285714167e-05,1.935094432758113e-21,4.999999999999958e-06,6.772830514653395e-22,0.04999999999999957
23,10.0,5.0,0.0,9.500000000000004,1.4285714285714218e-05,-1.5341821932681022e-20,4.999999999999976e-06,-5.369637676438357e-21,0.049999999999999746
24,15.0,5.0,0.0,9.250000000000004,1.4285714285714208e-05,-1.0006917638588634e-19,4.9999999999999725e-06,-3.502421173506022e-20,0.049999999999999704
25,20.0,5.0,0.0,9.000000000000005,1.4285714285714189e-05,-7.710729668805675e-20,4.999999999999966e-06,-2.6987553840819864e-20,0.04999999999999965
26,25.0,5.0,0.0,8.750000000000007,1.4285714285714021e-05,-1.0361064499144288e-19,4.999999999999907e-06,-3.6263725747005003e-20,0.04999999999999906
27,30.0,5.0,0.0,8.500000000000014,1.428571428571398e-05,1.0573552615477685e-20,4.999999999999893e-06,3.7007434154171894e-21,0.04999999999999893
28,35.0,5.0,0.0,8.250000000000018,1.4285714285714064e-05,9.655313438092577e-20,4.999999999999922e-06,3.3793597033324015e-20,0.04999999999999921
29,40.0,5.0,0.0,8.000000000000021,1.4285714285714104e-05,2.907726969256362e-20,4.999999999999936e-06,1.0177044392397267e-20,0.04999999999999936
30,45.0,5.0,0.0,7.750000000000023,1.4285714285714246e-05,1.9117117432909317e-20,4.999999999999986e-06,6.6909911015182605e-21,0.04999999999999986
31,50.0,5.0,0.0,7.500000000000021,1.4285714285714363e-05,1.224939355296803e-20,5.000000000000027e-06,4.28728774353881e-21,0.050000000000000266
32,55.0,5.0,0.0,7.25000000000002,1.4285714285714355e-05,8.474098052739723e-21,5.000000000000024e-06,2.965934318458903e-21,0.05000000000000024
33,60.0,5.0,0.0,7.000000000000018,1.4285714285714279e-05,3.691254078888397e-20,4.999999999999997e-06,1.2919389276109389e-20,0.04999999999999997
34,65.0,5.0,0.0,6.750000000000018,1.4285714285714331e-05,-2.105221186566746e-20,5.000000000000016e-06,-7.368274152983611e-21,0.05000000000000015
35,70.0,5.0,0.0,6.500000000000015,1.4285714285714487e-05,-5.754113902930388e-20,5.00000000000007e-06,-2.0139398660256356e-20,0.05000000000000069
36,75.0,5.0,0.0,6.25000000000001,1.4285714285714445e-05,-6.13164345295322e-20,5.0000000000000555e-06,-2.146075208533627e-20,0.050000000000000544
37,80.0,5.0,0.0,6.00000000000001,1.4285714285714287e-05,-2.449878710593609e-20,5e-06,-8.574575487077631e-21,0.05000000000000001
38,85.0,5.0,0.0,5.750000000000009,1.4285714285714335e-05,-2.237390594260218e-20,5.0000000000000165e-06,-7.830867079910763e-21,0.05000000000000016
39,90.0,5.0,0.0,5.500000000000007,1.4285714285714409e-05,1.8313930346510116e-20,5.000000000000043e-06,6.40987562127854e-21,0.050000000000000426
40,95.0,5.0,0.0,5.250000000000004,1.4285714285714482e-05,-2.2892412933137555e-21,5.000000000000068e-06,-8.012344526598144e-22,0.050000000000000676
41,100.0,5.0,0.0,5.0,1.4285714285714528e-05,-1.3216940769347097e-20,5.000000000000084e-06,-4.625929269271484e-21,0.050000000000000856
42,0.0,10.0,0.0,10.0,1.4285714285714143e-05,0.0,4.99999999999995e-06,0.0,0.04999999999999949
43,5.0,10.0,0.0,9.750000000000002,1.4285714285714162e-05,-3.507233972141377e-20,4.999999999999956e-06,-1.227531890249482e-20,0.04999999999999956
44,10.0,10.0,0.0,9.500000000000004,1.4285714285714135e-05,-1.0502723243366548e-19,4.999999999999947e-06,-3.6759531351782915e-20,0.049999999999999455
45,15.0,10.0,0.0,9.250000000000007,1.4285714285714169e-05,-1.261743376646209e-19,4.999999999999959e-06,-4.416101818261731e-20,0.04999999999999957
46,20.0,10.0,0.0,9.000000000000007,1.428571428571416e-05,-1.2671827125575236e-19,4.9999999999999555e-06,-4.435139493951332e-20,0.049999999999999545
47,25.0,10.0,0.0,8.75000000000001,1.4285714285714106e-05,-1.4139583963141798e-19,4.999999999999937e-06,-4.948854387099629e-20,0.04999999999999937
48,30.0,10.0,0.0,8.500000000000012,1.4285714285714126e-05,4.597461259685115e-20,4.999999999999944e-06,1.6091114408897902e-20,0.049999999999999434
49,35.0,10.0,0.0,8.250000000000014,1.4285714285714031e-05,4.467834512051239e-20,4.999999999999911e-06,1.5637420792179334e-20,0.04999999999999911
50,40.0,10.0,0.0,8.000000000000021,1.4285714285714089e-05,4.809949376018507e-20,4.999999999999931e-06,1.6834822816064773e-20,0.0499999999999993
51,45.0,10.0,0.0,7.750000000000021,1.4285714285714287e-05,7.004978607753965e-20,5e-06,2.4517425127138876e-20,0.04999999999999999
52,50.0,10.0,0.0,7.50000000000002,1.4285714285714368e-05,9.145614480376273e-20,5.000000000000028e-06,3.200965068131695e-20,0.05000000000000028
53,55.0,10.0,0.0,7.250000000000018,1.4285714285714346e-05,5.251361621683276e-20,5.000000000000021e-06,1.8379765675891464e-20,0.0500000000000002
54,60.0,10.0,0.0,7.000000000000017,1.4285714285714267e-05,-1.9730517788732747e-20,4.999999999999993e-06,-6.905681226056461e-21,0.04999999999999991
55,65.0,10.0,0.0,6.750000000000018,1.4285714285714309e-05,-4.493759861578016e-20,5.000000000000008e-06,-1.5728159515523055e-20,0.050000000000000065
56,70.0,10.0,0.0,6.500000000000017,1.4285714285714431e-05,-3.781062124057108e-20,5.00000000000005e-06,-1.3233717434199877e-20,0.050000000000000495
57,75.0,10.0,0.0,6.250000000000012,1.4285714285714479e-05,-1.0245331104448804e-19,5.000000000000067e-06,-3.585865886557081e-20,0.05000000000000066
58,80.0,10.0,0.0,6.000000000000009,1.4285714285714336e-05,-1.3571087629902765e-20,5.000000000000017e-06,-4.749880670465967e-21,0.05000000000000018
59,85.0,10.0,0.0,5.750000000000011,1.428571428571433e-05,3.110725749060965e-20,5.000000000000015e-06,1.0887540121713378e-20,0.05000000000000015
60,90.0,10.0,0.0,5.500000000000007,1.4285714285714445e-05,2.669313503396196e-20,5.0000000000000555e-06,9.342597261886686e-21,0.05000000000000056
61,95.0,10.0,0.0,5.250000000000004,1.4285714285714489e-05,-1.9022224067621448e-20,5.000000000000071e-06,-6.657778423667506e-21,0.050000000000000704
62,100.0,10.0,0.0,5.0,1.4285714285714546e-05,-5.995070028850149e-21,5.000000000000091e-06,-2.0982745100975518e-21,0.05000000000000091
63,0.0,15.0,0.0,10.0,1.4285714285714148e-05,-3.842402159639451e-20,4.999999999999951e-06,-1.3448407558738077e-20,0.04999999999999952
64,5.0,15.0,0.0,9.750000000000002,1.4285714285714099e-05,-1.1418419760692059e-19,4.999999999999934e-06,-3.99644691624222e-20,0.049999999999999344
65,10.0,15.0,0.0,9.500000000000007,1.4285714285714131e-05,-1.2404945650128695e-19,4.999999999999945e-06,-4.3417309775450434e-20,0.049999999999999434
66,15.0,15.0,0.0,9.250000000000009,1.4285714285714216e-05,-5.2159469356277117e-20,4.999999999999975e-06,-1.825581427469699e-20,0.04999999999999972
67,20.0,15.0,0.0,9.00000000000001,1.4285714285714135e-05,-7.814431066912777e-20,4.999999999999947e-06,-2.7350508734194717e-20,0.04999999999999946
68,25.0,15.0,0.0,8.750000000000014,1.4285714285714185e-05,-1.0177044392397269e-19,4.999999999999965e-06,-3.561965537339044e-20,0.049999999999999635
69,30.0,15.0,0.0,8.500000000000012,1.4285714285714172e-05,-1.6308687845350485e-19,4.99999999999996e-06,-5.70804074587267e-20,0.04999999999999959
70,35.0,15.0,0.0,8.250000000000018,1.4285714285714116e-05,-1.3514151610730013e-19,4.99999999999994e-06,-4.729953063755504e-20,0.04999999999999939
