x,skin_friction_coeff,displacement_thickness,momentum_thickness
0.000000e+00,3.981784e-02,2.750792e-04,0.000000e+00
1.265823e-02,2.684038e-02,5.032244e-04,1.832952e-04
2.531646e-02,1.819521e-02,7.357246e-04,3.146495e-04
3.797468e-02,1.277790e-02,9.531733e-04,4.124331e-04
5.063291e-02,9.586674e-03,1.144544e-03,4.885127e-04
6.329114e-02,7.755369e-03,1.308747e-03,5.506310e-04
7.594936e-02,6.662675e-03,1.450845e-03,6.036580e-04
8.860759e-02,5.950603e-03,1.576673e-03,6.505044e-04
1.012658e-01,5.442646e-03,1.690493e-03,6.928897e-04
1.139240e-01,5.055160e-03,1.795081e-03,7.318761e-04
1.265823e-01,4.745885e-03,1.892296e-03,7.681658e-04
1.392405e-01,4.491096e-03,1.983455e-03,8.022508e-04
1.518987e-01,4.276179e-03,2.069537e-03,8.344916e-04
1.645570e-01,4.091521e-03,2.151288e-03,8.651609e-04
1.772152e-01,3.930489e-03,2.229295e-03,8.944708e-04
1.898734e-01,3.788336e-03,2.304023e-03,9.225897e-04
2.025317e-01,3.661564e-03,2.375851e-03,9.496540e-04
2.151899e-01,3.547526e-03,2.445092e-03,9.757758e-04
2.278481e-01,3.444179e-03,2.512006e-03,1.001049e-03
2.405063e-01,3.349913e-03,2.576813e-03,1.025552e-03
2.531646e-01,3.263445e-03,2.639701e-03,1.049353e-03
2.658228e-01,3.183733e-03,2.700830e-03,1.072510e-03
2.784810e-01,3.109920e-03,2.760343e-03,1.095074e-03
2.911392e-01,3.041299e-03,2.818360e-03,1.117087e-03
3.037975e-01,2.977275e-03,2.874990e-03,1.138591e-03
3.164557e-01,2.917346e-03,2.930329e-03,1.159618e-03
3.291139e-01,2.861085e-03,2.984461e-03,1.180201e-03
3.417721e-01,2.808123e-03,3.037464e-03,1.200366e-03
3.544304e-01,2.758145e-03,3.089404e-03,1.220138e-03
3.670886e-01,2.710875e-03,3.140346e-03,1.239540e-03
3.797468e-01,2.666071e-03,3.190344e-03,1.258591e-03
3.924051e-01,2.623522e-03,3.239449e-03,1.277312e-03
4.050633e-01,2.583042e-03,3.287708e-03,1.295718e-03
4.177215e-01,2.544466e-03,3.335164e-03,1.313826e-03
4.303797e-01,2.507644e-03,3.381856e-03,1.331649e-03
4.430380e-01,2.472447e-03,3.427820e-03,1.349201e-03
4.556962e-01,2.438755e-03,3.473089e-03,1.366493e-03
4.683544e-01,2.406462e-03,3.517694e-03,1.383538e-03
4.810127e-01,2.375473e-03,3.561665e-03,1.400346e-03
4.936709e-01,2.345700e-03,3.605027e-03,1.416926e-03
5.063291e-01,2.317065e-03,3.647805e-03,1.433287e-03
5.189874e-01,2.289495e-03,3.690023e-03,1.449439e-03
5.316456e-01,2.262925e-03,3.731702e-03,1.465389e-03
5.443038e-01,2.237295e-03,3.772862e-03,1.481145e-03
5.569620e-01,2.212550e-03,3.813523e-03,1.496713e-03
5.696203e-01,2.188639e-03,3.853703e-03,1.512100e-03
5.822785e-01,2.165516e-03,3.893418e-03,1.527313e-03
5.949367e-01,2.143137e-03,3.932684e-03,1.542358e-03
6.075949e-01,2.121464e-03,3.971517e-03,1.557239e-03
6.202531e-01,2.100458e-03,4.009930e-03,1.571962e-03
6.329114e-01,2.080086e-03,4.047937e-03,1.586533e-03
6.455696e-01,2.060316e-03,4.085550e-03,1.600955e-03
6.582279e-01,2.041118e-03,4.122783e-03,1.615233e-03
6.708861e-01,2.022466e-03,4.159645e-03,1.629373e-03
6.835443e-01,2.004333e-03,4.196149e-03,1.643377e-03
6.962025e-01,1.986695e-03,4.232304e-03,1.657249e-03
7.088608e-01,1.969530e-03,4.268121e-03,1.670993e-03
7.215190e-01,1.952817e-03,4.303608e-03,1.684614e-03
7.341772e-01,1.936536e-03,4.338775e-03,1.698113e-03
7.468355e-01,1.920668e-03,4.373630e-03,1.711494e-03
7.594936e-01,1.905196e-03,4.408182e-03,1.724761e-03
7.721519e-01,1.890104e-03,4.442439e-03,1.737916e-03
7.848101e-01,1.875376e-03,4.476407e-03,1.750962e-03
7.974684e-01,1.860997e-03,4.510095e-03,1.763902e-03
8.101266e-01,1.846954e-03,4.543509e-03,1.776738e-03
8.227848e-01,1.833234e-03,4.576655e-03,1.789472e-03
8.354430e-01,1.819824e-03,4.609541e-03,1.802108e-03
8.481013e-01,1.806712e-03,4.642171e-03,1.814647e-03
8.607595e-01,1.793888e-03,4.674553e-03,1.827092e-03
8.734177e-01,1.781341e-03,4.706691e-03,1.839445e-03
8.860760e-01,1.769062e-03,4.738592e-03,1.851708e-03
8.987342e-01,1.757039e-03,4.770260e-03,1.863882e-03
9.113924e-01,1.745266e-03,4.801701e-03,1.875970e-03
9.240506e-01,1.733733e-03,4.832918e-03,1.887973e-03
9.367089e-01,1.722431e-03,4.863918e-03,1.899894e-03
9.493671e-01,1.711354e-03,4.894705e-03,1.911733e-03
9.620253e-01,1.700493e-03,4.925282e-03,1.923493e-03
9.746835e-01,1.689842e-03,4.955655e-03,1.935176e-03
9.873418e-01,1.679394e-03,4.985827e-03,1.946782e-03
1.000000e+00,1.669143e-03,5.015802e-03,1.958313e-03
