x,skin_friction_coeff,displacement_thickness,momentum_thickness
4.269663e-01,2.938261e-03,3.832080e-03,1.505304e-03
4.382023e-01,2.901420e-03,3.878971e-03,1.523222e-03
4.494382e-01,2.865981e-03,3.925238e-03,1.540907e-03
4.606742e-01,2.831855e-03,3.970903e-03,1.558368e-03
4.719101e-01,2.798962e-03,4.015992e-03,1.575612e-03
4.831461e-01,2.767228e-03,4.060525e-03,1.592649e-03
4.943820e-01,2.736585e-03,4.104522e-03,1.609485e-03
5.056180e-01,2.706972e-03,4.148003e-03,1.626128e-03
5.168539e-01,2.678331e-03,4.190986e-03,1.642584e-03
5.280899e-01,2.650609e-03,4.233487e-03,1.658859e-03
5.393258e-01,2.623758e-03,4.275522e-03,1.674959e-03
5.505618e-01,2.597732e-03,4.317107e-03,1.690890e-03
5.617977e-01,2.572489e-03,4.358256e-03,1.706658e-03
5.730337e-01,2.547991e-03,4.398982e-03,1.722266e-03
5.842696e-01,2.524200e-03,4.439299e-03,1.737720e-03
5.955056e-01,2.501083e-03,4.479218e-03,1.753025e-03
6.067415e-01,2.478608e-03,4.518752e-03,1.768184e-03
6.179775e-01,2.456746e-03,4.557911e-03,1.783202e-03
6.292135e-01,2.435469e-03,4.596705e-03,1.798083e-03
6.404495e-01,2.414751e-03,4.635146e-03,1.812830e-03
6.516854e-01,2.394568e-03,4.673242e-03,1.827447e-03
6.629214e-01,2.374896e-03,4.711003e-03,1.841938e-03
6.741573e-01,2.355715e-03,4.748437e-03,1.856305e-03
6.853933e-01,2.337003e-03,4.785553e-03,1.870552e-03
6.966292e-01,2.318742e-03,4.822359e-03,1.884682e-03
7.078652e-01,2.300914e-03,4.858863e-03,1.898698e-03
7.191011e-01,2.283502e-03,4.895072e-03,1.912602e-03
7.303371e-01,2.266489e-03,4.930993e-03,1.926397e-03
7.415730e-01,2.249861e-03,4.966633e-03,1.940086e-03
7.528090e-01,2.233602e-03,5.001998e-03,1.953671e-03
7.640449e-01,2.217700e-03,5.037095e-03,1.967154e-03
7.752809e-01,2.202142e-03,5.071930e-03,1.980538e-03
7.865168e-01,2.186914e-03,5.106509e-03,1.993825e-03
7.977528e-01,2.172005e-03,5.140837e-03,2.007017e-03
8.089887e-01,2.157405e-03,5.174919e-03,2.020116e-03
8.202247e-01,2.143102e-03,5.208762e-03,2.033124e-03
8.314607e-01,2.129086e-03,5.242370e-03,2.046042e-03
8.426966e-01,2.115349e-03,5.275747e-03,2.058874e-03
8.539326e-01,2.101880e-03,5.308899e-03,2.071619e-03
8.651685e-01,2.088671e-03,5.341830e-03,2.084281e-03
8.764045e-01,2.075714e-03,5.374545e-03,2.096861e-03
8.876405e-01,2.063001e-03,5.407047e-03,2.109360e-03
8.988764e-01,2.050523e-03,5.439342e-03,2.121780e-03
9.101124e-01,2.038274e-03,5.471432e-03,2.134122e-03
9.213483e-01,2.026247e-03,5.503321e-03,2.146388e-03
9.325843e-01,2.014435e-03,5.535015e-03,2.158580e-03
9.438202e-01,2.002832e-03,5.566515e-03,2.170698e-03
9.550562e-01,1.991431e-03,5.597825e-03,2.182744e-03
9.662921e-01,1.980227e-03,5.628950e-03,2.194719e-03
9.775281e-01,1.969214e-03,5.659892e-03,2.206625e-03
9.887640e-01,1.958387e-03,5.690654e-03,2.218462e-03
1.000000e+00,1.947740e-03,5.721240e-03,2.230232e-03
