x,skin_friction_coeff,displacement_thickness,momentum_thickness
0.000000e+00,5.857169e-02,2.493368e-04,0.000000e+00
1.123596e-02,3.594381e-02,5.232600e-04,2.120714e-04
2.247191e-02,2.238981e-02,7.962776e-04,3.544702e-04
3.370786e-02,1.498003e-02,1.040134e-03,4.561499e-04
4.494382e-02,1.118972e-02,1.245477e-03,5.341027e-04
5.617978e-02,9.197353e-03,1.418153e-03,5.979957e-04
6.741573e-02,8.017787e-03,1.567556e-03,6.530493e-04
7.865169e-02,7.224761e-03,1.700503e-03,7.020686e-04
8.988764e-02,6.642316e-03,1.821218e-03,7.466658e-04
1.011236e-01,6.189706e-03,1.932425e-03,7.878531e-04
1.123596e-01,5.824204e-03,2.035997e-03,8.263125e-04
1.235955e-01,5.520616e-03,2.133281e-03,8.625275e-04
1.348315e-01,5.262945e-03,2.225279e-03,8.968550e-04
1.460674e-01,5.040475e-03,2.312759e-03,9.295668e-04
1.573034e-01,4.845712e-03,2.396323e-03,9.608750e-04
1.685393e-01,4.673238e-03,2.476451e-03,9.909494e-04
1.797753e-01,4.519021e-03,2.553535e-03,1.019928e-03
1.910112e-01,4.379990e-03,2.627898e-03,1.047924e-03
2.022472e-01,4.253757e-03,2.699810e-03,1.075034e-03
2.134831e-01,4.138433e-03,2.769499e-03,1.101338e-03
2.247191e-01,4.032501e-03,2.837161e-03,1.126905e-03
2.359551e-01,3.934728e-03,2.902963e-03,1.151796e-03
2.471910e-01,3.844097e-03,2.967053e-03,1.176062e-03
2.584270e-01,3.759761e-03,3.029559e-03,1.199749e-03
2.696629e-01,3.681010e-03,3.090594e-03,1.222897e-03
2.808989e-01,3.607243e-03,3.150257e-03,1.245542e-03
2.921348e-01,3.537943e-03,3.208639e-03,1.267717e-03
3.033708e-01,3.472671e-03,3.265819e-03,1.289449e-03
3.146068e-01,3.411042e-03,3.321869e-03,1.310765e-03
3.258427e-01,3.352724e-03,3.376855e-03,1.331688e-03
3.370787e-01,3.297426e-03,3.430835e-03,1.352239e-03
3.483146e-01,3.244890e-03,3.483863e-03,1.372438e-03
3.595506e-01,3.194891e-03,3.535989e-03,1.392303e-03
3.707865e-01,3.147226e-03,3.587257e-03,1.411851e-03
3.820225e-01,3.101717e-03,3.637710e-03,1.431095e-03
3.932584e-01,3.058203e-03,3.687384e-03,1.450050e-03
4.044944e-01,3.016540e-03,3.736316e-03,1.468728e-03
4.157303e-01,2.976598e-03,3.784538e-03,1.487143e-03
